ID,0 y,1-3 y,4-6 y,7-9 y,10-14 y,15-25 y,total
12/20,9.182389937106919,10.167130919220055,5.35288725939505,2.664233576642336,0.39978094194961666,0.0,64
08/15,3.0,10.064338235294118,8.937316356513222,0.3333333333333333,0.21037463976945245,0.2972312703583062,62
30/05,1.0138888888888888,3.433678269049859,7.666666666666667,4.112676056338028,1.4178690344062153,0.0,53
14/38,6.0,10.745170193192273,5.328467153284672,1.332116788321168,0.0,0.0,58
01/18,5.0,10.676416819012797,6.016483516483516,2.0,0.0,,59
11/26,7.1568627450980395,7.326642335766423,8.516666666666667,2.7521206409048067,0.0,0.0,58
05/12,6.083333333333333,10.989963503649635,4.99543795620438,0.944372574385511,0.0,,56
10/10,5.0,11.49074074074074,5.004570383912249,0.3348623853211009,0.23903077930582842,0.0,56
01/13,6.0,8.658759124087592,6.333333333333333,0.9990875912408759,0.0,0.0,54
14/46,4.15954415954416,8.472609099350047,5.666666666666667,2.0,0.5996714129244249,0.0,55
11/17,4.195402298850575,5.677035681610247,4.329379562043796,4.99543795620438,0.7995618838992333,0.0,53
08/12,0.0,3.0137614678899083,3.721037998146432,5.8372530573847605,2.398446833930705,0.533235938641344,50
31/06,6.0497237569060776,9.0,5.7347504621072085,0.0,0.2,0.2822892498066512,52
14/22,0.0,6.0,6.993613138686132,2.664233576642336,0.49525101763907736,0.0,49
03/23,7.738515901060071,10.064338235294118,4.696691176470588,1.3357731015553522,0.0,0.0,54
04/13,0.0,4.044321329639889,6.362385321100917,2.664233576642336,0.0,0.36646586345381527,41
09/12,2.0,9.99087591240876,4.333333333333333,0.9990875912408759,0.19989047097480833,0.13936617029400536,50
16/45,10.805921052631579,9.314744801512287,3.7279480037140202,0.9990875912408759,0.20300333704115683,,51
22/26,9.02826855123675,5.219611848825332,6.174812030075188,2.8076923076923075,0.73,0.0,50
02/09,0.0,8.68252516010979,2.5,6.609657947686117,1.0602759622367466,0.0,43
14/43,2.0679886685552407,6.7467652495378925,5.397412199630314,3.107852412488174,0.19989047097480833,0.0,48
01/14,7.0,7.6596715328467155,4.666666666666667,0.333029197080292,0.0,0.167816091954023,46
31/08,5.1120448179271705,6.660583941605839,4.662408759124087,1.3419117647058822,0.0,0.0,43
11/22,0.0,7.237960339943343,4.99543795620438,0.333029197080292,0.0,0.18033596837944665,38
19/26,4.078212290502793,10.408745247148289,2.54228855721393,0.6691109074243813,0.21061742642815925,0.0,44
16/36,5.632716049382716,13.238341968911918,4.6686046511627906,0.7358870967741935,0.44108761329305135,0.26202440775305097,42
19/19,4.451219512195122,10.080552359033371,4.714747039827772,0.7381193124368048,0.7448979591836735,0.0,42
14/45,6.066481994459834,9.819109461966605,2.4035747883349012,0.666058394160584,0.20715096481271283,0.0,45
14/44,4.124293785310734,6.691109074243813,4.684947491248542,0.9990875912408759,0.39978094194961666,0.5140845070422535,41
15/29,9.024725274725276,6.327554744525547,4.0,0.666058394160584,0.19989047097480833,0.0,43
