inf_rate,clinical_rate,density,percentage
0.09967824680683318,0.07385839459295081,4.4344106714783034e-05,0.16381562536795133
0.10044123390014874,0.07445222774517854,4.546008279300264e-05,0.1683616336472516
0.10121035553014394,0.07505083540969598,4.660064088150819e-05,0.17302169773540244
0.10198566101946217,0.07565425597433573,4.776622495159051e-05,0.17779832023056147
0.10276464785854456,0.0762625281355745,4.89572844485347e-05,0.18269404867541494
0.10354609651890472,0.07687569090101494,5.017427429479813e-05,0.18771147610489475
0.10433382814985798,0.07749378359188679,5.141765489127871e-05,0.19285324159402262
0.10512789326747983,0.07811684584556881,5.268789211663838e-05,0.19812203080568644
0.10592834279400298,0.07874491761813059,5.398545732462557e-05,0.203520576538149
0.10673522806108278,0.07937803918689465,5.5310827339357834e-05,0.20905165927208477
0.1075486008130894,0.08001625115301975,5.6664484448517e-05,0.21471810771693647
0.10836851321042568,0.08065959444410416,5.804691639440768e-05,0.22052279935637725
0.10919501783287251,0.08130811031681068,5.945861636283591e-05,0.22646866099266086
0.11002816768296053,0.08196184035951215,6.090008296976332e-05,0.2325586692896372
0.1108680161893689,0.08262082649495839,6.23718202456871e-05,0.23879585131420591
0.11171461721035204,0.0832851109829649,6.387433761769917e-05,0.24518328507597584
0.11256802503719303,0.08395473642312262,6.54081498891909e-05,0.25172410006489493
0.11342829439768556,0.08462974575753004,6.697377721713218e-05,0.2584214777866081
0.11429548045964344,0.08531018227354689,6.85717450869141e-05,0.26527865229529957
0.11516963883443827,0.08599608960657,7.020258428467548e-05,0.2722989107237671
0.11605082558056605,0.08668751174283183,7.186683086709761e-05,0.27948559381047683
0.11693909720724173,0.08738449302222095,7.356502612859562e-05,0.2868420964233364
0.11783451067802342,0.08808707814112574,7.529771656589288e-05,0.2943718680799257
0.11873712341446523,0.08879531215530057,7.70654538398995e-05,0.3020784134639157
0.11964696165879839,0.08950924048275513,7.886879473488156e-05,0.30996529293740377
0.12055685390776985,0.0902289089066672,8.070830111486705e-05,0.3180361230488905
0.1214740618340637,0.09095436357831836,8.258453987723114e-05,0.32629457703661363
0.12239864425688053,0.09168565102005395,8.449808290344637e-05,0.33474438532695827
0.12333066046833664,0.09242281812826628,8.644950700693613e-05,0.34338933602765187
0.1242701702372661,0.09316591217640191,8.843939387799365e-05,0.35223327541545124
0.12521723381305408,0.0939149808179936,9.046833002572985e-05,0.3612801084180242
0.1261719119295001,0.09467007208971581,9.253690671700954e-05,0.37053379908972517
0.1271342658087132,0.09543123441446562,9.464571991233682e-05,0.37999837108095885
0.12810435716503782,0.09619851660446781,9.679537019864234e-05,0.3896779081008231
0.12908224820901132,0.09697196786440505,9.89864627189531e-05,0.3995765543727184
0.13006800165135374,0.09775163779457358,0.00010121960709888778,0.40969851508260724
0.13106168070698912,0.09853757639406369,0.00010349541736995308,0.42004805681960256
0.13206334909909956,0.09932983406396637,0.00010581451188960716,0.43062950800856326
0.13307307106321162,0.10012846161060535,0.00010817751325804539,0.4414472593343678
0.13409091135131543,0.10093351024879509,0.00011058504823168163,0.45250576415753596
0.13511693523601764,0.10174503160512541,0.00011303774763329964,0.4638095389208659
0.1361512085147267,0.10256307772127189,0.00011553624625882075,0.475363163546748
0.1371937975138728,0.1033877010573336,0.00011808118278068968,0.487171281824817
0.13824476909316094,0.10421895449519684,0.00012067319964781392,0.4992386017895984
0.13930419064985883,0.10505689134192685,0.0001233129429820586,0.5115698960878042
0.14036711701249394,0.10590156533318601,0.00012600106247124843,0.524170002334929
0.14143538066377684,0.10675303063667983,0.0001287382112586621,0.5370438234607953
0.14251223332345817,0.10761134185563087,0.00013152504582899727,0.550196328043695
0.1435977440485213,0.10847655403228006,0.00013436222589075937,0.563632550632771
0.14469198245117873,0.10934872265141675,0.00013725041425509524,0.5773575920582804
0.14579501870333622,0.11022790364393678,0.00014019027671099973,0.5913766197293804
0.14690692354109247,0.11111415339042906,0.00014318248189692086,0.6056948679190725
0.14802776826927588,0.11200752872479154,0.00014622770116871542,0.6203176380359441
0.14915762476601666,0.11290808693787549,0.00014932660846395346,0.6352502988823394
0.15029656548735673,0.11381588578115981,0.00015247988016255367,0.6504982868985948
0.15144466347189597,0.11473098347045439,0.00015568819494373362,0.6660671063929681
