,,2019,2019,2019,2015,2015,2015,2010,2010,2010,2005,2005,2005,2000,2000,2000
Indicator,Age Group,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female
lx - number of people left alive at age x,75-79 years,46415.42084,41259.82625,51352.32545,43106.57648,37947.48808,47981.36981,36647.61278,32289.1773,40523.76561,29433.80151,25271.1285,33087.95138,24972.28272,20662.38857,29004.43503
lx - number of people left alive at age x,80-84 years,32657.05192,27824.2075,37145.068,29943.14913,25190.87996,34297.38288,24971.44962,20756.08205,28633.23746,19610.43589,15559.77369,23169.78833,16126.30151,12173.54797,19910.42391
lx - number of people left alive at age x,85+ years,18780.09626,15132.02148,22052.07317,16971.32858,13393.35612,20123.45869,13907.89755,10619.65641,16682.49688,10712.15509,7594.520239,13455.68996,8489.769923,5644.818762,11300.39623
ndx - number of people dying between ages x and x+n,<1 year,3624.956559,3938.724676,3302.548268,4197.340588,4531.62527,3853.439331,4804.629421,5150.774344,4447.432346,5859.128053,6239.097778,5467.589499,8289.780573,8742.811885,7824.439715
ndx - number of people dying between ages x and x+n,1-4 years,1441.600168,1500.259225,1381.111598,1712.024241,1774.375838,1647.582444,2495.324247,2554.773676,2433.934477,3552.8168,3621.896379,3481.651204,5058.004535,5160.736147,4951.692626
ndx - number of people dying between ages x and x+n,5-9 years,755.5764208,785.9637716,724.1994247,827.9067303,857.681708,797.1565395,872.0759939,892.5299342,851.0600713,1001.254934,1020.254707,981.76414,1207.664918,1231.257993,1183.287108
ndx - number of people dying between ages x and x+n,10-14 years,325.4231834,359.1403216,290.6658463,339.1067229,371.8794832,305.4488087,354.4961893,389.6847445,318.5056806,402.9940698,450.4725556,354.3239653,478.797256,546.9076333,408.8980738
ndx - number of people dying between ages x and x+n,15-19  years,520.3213302,599.1871704,439.5119258,610.0017951,691.5662488,526.6453907,740.1607918,806.8201917,672.0553859,754.5107539,817.8609321,689.9190075,705.3349115,763.960079,645.2033802
ndx - number of people dying between ages x and x+n,20-24 years,715.6054393,820.0668365,609.1751246,826.0350772,899.5808349,751.0843052,1021.217868,1012.739643,1029.912857,1231.658927,1140.12279,1324.863094,1492.185346,1298.113056,1690.745673
ndx - number of people dying between ages x and x+n,25-29 years,925.191798,1038.325771,810.1883613,1143.607521,1196.811185,1089.822397,1682.509601,1474.200249,1893.640618,2456.429485,1901.822652,3017.505711,3065.948177,2286.304341,3852.49495
ndx - number of people dying between ages x and x+n,30-34 years,1228.610265,1365.49642,1090.095539,1579.082966,1666.168342,1490.90411,2548.300645,2251.937048,2848.547234,3901.971087,3129.15367,4672.626763,4349.796115,3628.458047,5061.034542
ndx - number of people dying between ages x and x+n,35-39 years,1641.939085,1845.862436,1434.641548,2129.812899,2348.716585,1906.491611,3487.686131,3328.017843,3649.052925,5005.675516,4677.903773,5325.561976,5202.465872,5231.722071,5173.042688
ndx - number of people dying between ages x and x+n,40-44 years,2228.331318,2563.914277,1884.16005,2758.088708,3159.881952,2345.504547,4113.268746,4296.093797,3930.816293,5530.977839,5867.688119,5206.679585,5406.496547,6103.141436,4740.10627
ndx - number of people dying between ages x and x+n,45-49 years,2903.287229,3336.781974,2456.645302,3414.085413,3935.042901,2879.753119,4653.655754,5070.929202,4245.152096,5713.082147,6389.5888,5073.214161,5545.686775,6234.913934,4888.955549
ndx - number of people dying between ages x and x+n,50-54 years,3923.79828,4493.660259,3341.790914,4249.238707,4904.529064,3591.009003,4988.169089,5629.078394,4375.162472,5634.799784,6341.568841,4975.737824,5662.559355,6272.190258,5103.147719
ndx - number of people dying between ages x and x+n,55-59 years,5087.727091,5790.412841,4391.13148,5249.139149,5990.302215,4526.134337,5510.856836,6300.852808,4773.160118,5739.289277,6585.469173,4985.63895,5774.550821,6593.063905,5031.293961
ndx - number of people dying between ages x and x+n,60-64 years,7083.296843,7932.305957,6272.467072,7091.132816,7924.463606,6308.501208,6904.313479,7880.59465,6046.8354,6658.948085,7725.002859,5723.965832,6577.010374,7610.857967,5629.731734
ndx - number of people dying between ages x and x+n,65-69 years,9180.157004,9986.071288,8458.751199,9044.647903,9806.388415,8407.940769,8489.342478,9460.12794,7670.950223,7762.470533,8842.752549,6815.775427,7456.429661,8439.921619,6526.293619
ndx - number of people dying between ages x and x+n,70-74 years,11998.75715,12384.00052,11760.5909,11722.17228,11993.49828,11591.21227,10686.37996,11211.66824,10290.01619,9360.191198,9978.215919,8815.231486,8755.006046,9193.251059,8285.197362
ndx - number of people dying between ages x and x+n,75-79 years,13758.36892,13435.61875,14207.25745,13163.42735,12756.60811,13683.98693,11676.16316,11533.09525,11890.52815,9823.365617,9711.354816,9918.163049,8845.981204,8488.840597,9094.011119
ndx - number of people dying between ages x and x+n,80-84 years,13876.95565,12692.18603,15092.99482,12971.82055,11797.52384,14173.92419,11063.55206,10136.42564,11950.74058,8898.280802,7965.253447,9714.098367,7636.53159,6528.729209,8610.027684
ndx - number of people dying between ages x and x+n,85+ years,18780.09626,15132.02148,22052.07317,16971.32858,13393.35612,20123.45869,13907.89755,10619.65641,16682.49688,10712.15509,7594.520239,13455.68996,8489.769923,5644.818762,11300.39623
